No.,Object designation,Diameter,Impact date/time in UTC,IP,Close years
808,2006AU3,19,2105-01-15 01:01,0.0226492019640032,2105
811,2010TN55,14,2111-10-12 22:56,0.0033128472788441,2074
812,2012BW13,13,2095-01-27 14:25,0.596267326879216,2072
813,2012XL55,14,2025-12-08 23:47,0.0000890277771906635,2025
821,2009SD15,15,2121-09-15 15:01,0.112156654784615,2081
823,2022AT1,20,2122-01-04 19:39,0.0025811747917132,2122
825,2021PA15,20,2114-08-06 06:57,0.00593735239965165,2114
826,2011EC,27,2051-05-24 19:26,0.187660968483244,2051
827,2022YE,40,2067-12-19 08:53,0.0000589410174451023,2064
828,1991BA,7,2032-01-19 17:37,0.0533180642397214,2026
834,2020UC4,21,2118-06-19 01:01,0.00288751837364092,2084
837,2008LE,40,2035-05-23 23:30,0.00100706254025343,2028
838,2017MD1,40,2072-02-10 03:09,0.000884833324689024,2067
840,2016TC57,14,2112-10-14 08:58,0.887971382186192,2112
842,2019RQ2,29,2080-12-24 05:24,0.248588586710179,2080
844,2008BN16,23,2083-01-21 22:33,0.248588586710179,2067
845,2021EP3,16,2113-03-16 06:32,0.000593041969700351,2101
848,2023CC3,15,2061-01-27 19:41,0.00323712829739068,2043
850,2012SU9,13,2111-01-11 14:09,0.704960540439676,2084
851,2017SS12,13,2089-09-24 20:32,0.112156654784615,2074
852,2019MT2,18,2109-07-07 03:28,0.00295376839162242,2109
853,2020SY4,12,2097-09-30 08:45,0.127258067550833,2069
854,2013HN158,40,2053-04-12 00:42,0.000250129970207278,2053
855,2022YY5,29,2070-06-15 04:08,0.000407287540465957,2070
856,2021VQ10,13,2055-11-07 13:22,0.000316816182198877,2054
859,2015QS8,15,2116-08-25 06:18,0.189041177063835,2116
863,2021RN,16,2105-09-02 05:35,0.00117137432599967,2105
865,2012HE31,23,2100-09-14 18:54,0.0000679780662828832,2046
867,2000SZ162,13,2070-06-22 13:43,0.151243457524941,2066
868,2011SE58,11,2055-09-27 16:11,0.00295376839162242,2042
870,2007VC3,40,2098-10-27 15:20,0.00635227743236995,2098
872,2020TD5,17,2118-10-09 03:13,0.0199614749360314,2118
877,2018LD1,19,2116-09-19 06:29,0.00212018999294598,2088
878,2022RJ2,14,2080-09-12 05:35,0.000593041969700351,2072
880,2006HE2,18,2081-10-06 10:21,0.00212018999294598,2065
881,2021VM22,12,2094-11-09 08:09,0.564473930053777,2090
883,2010VN1,8,2054-11-02 22:58,0.790314525730146,2050
888,2018JL1,16,2114-05-15 15:33,0.077956335335962,2112
889,2021WM4,10,2081-11-29 01:49,0.0533180642397214,2075
890,2009WJ6,11,2049-11-20 12:41,0.0000696495771847503,2049
891,2018AL12,40,2119-08-07 11:20,0.000884833324689024,2119
892,2005TH50,9,2055-11-30 08:15,0.630169626883105,2055
894,2010VO139,18,2065-11-11 01:19,0.813091511343353,2043
896,2021PM1,30,2056-10-03 03:15,0.000862474096287302,2056
898,2022SJ28,19,2116-10-04 21:32,0.0006360243254628,2104
901,2019FU1,12,2098-03-26 10:41,0.00288751837364092,2091
902,1998BT13,20,2032-01-23 07:46,0.000907857470812144,2032
903,1993HP1,14,2065-04-26 15:39,0.000127054732955551,2065
905,2014FE,11,2081-03-17 03:39,0.00168117147511774,2054
907,2021WL2,15,2095-12-17 17:10,0.0119983709105964,2092
908,2006DO62,7,2053-02-21 23:52,0.0618895399014256,2053
911,2011UR63,25,2110-10-19 04:03,1,2110
913,2021WZ1,16,2103-12-02 15:09,0.000359593964334705,2103
914,2017DP109,15,2086-03-02 03:43,0.000451810987847097,2057
915,2020TD8,14,2096-10-27 21:26,0.014719456800847,2096
916,2020YM3,22,2105-06-28 04:29,0.00017210950694328,2105
